Symbol,Name
GOED,1847 Goedeker Inc.
XXII,"22nd Century Group, Inc"
FAX,Aberdeen Asia-Pacific Income Fund Inc
IAF,Aberdeen Australia Equity Fund Inc
AEF,"Aberdeen Emerging Markets Equity Income Fund, Inc."
FCO,"Aberdeen Global Income Fund, Inc."
ACU,Acme United Corporation.
ATNM,"Actinium Pharmaceuticals, Inc."
AE,"Adams Resources & Energy, Inc."
ACY,AeroCentury Corp.
UAVS,"AgEagle Aerial Systems, Inc."
AGE,"AgeX Therapeutics, Inc."
AIRI,Air Industries Group
AXU,Alexco Resource Corp
AAU,"Almaden Minerals, Ltd."
APT,"Alpha Pro Tech, Ltd."
AAMC,Altisource Asset Management Corp
AMBO,Ambow Education Holding Ltd.
DIT,AMCON Distributing Company
AMS,American Shared Hospital Services
USAS,Americas Gold and Silver Corporation
AP.WS,Ampco-Pittsburgh Corporation
AMPE,"Ampio Pharmaceuticals, Inc."
ANVS,"Annovis Bio, Inc."
ARMP,"Armata Pharmaceuticals, Inc."
AINC,Ashford Inc.
AWX,Avalon Holdings Corporation
ASM,Avino Silver
BTG,B2Gold Corp
BTN,"Ballantyne Strong, Inc"
BCV,Bancroft Fund Limited
BCV^A,Bancroft Fund Limited
BHB,"Bar Harbor Bankshares, Inc."
BRN,"Barnwell Industries, Inc."
BATL,Battalion Oil Corporation
BIOX,Bioceres Crop Solutions Corp.
PHGE,BiomX Inc.
PHGE.U,BiomX Inc.
PHGE.WS,BiomX Inc.
BGI,Birks Group Inc.
BKTI,BK Technologies Corporation
BDR,"Blonder Tongue Laboratories, Inc."
BRBS,"Blue Ridge Bankshares, Inc."
BRG,"Bluerock Residential Growth REIT, Inc."
BRG^A,"Bluerock Residential Growth REIT, Inc."
BRG^C,"Bluerock Residential Growth REIT, Inc."
BRG^D,"Bluerock Residential Growth REIT, Inc."
DMF,BNY Mellon Municipal Income Inc.
BWL.A,"Bowl America, Inc."
BRMK.WS,Broadmark Realty Capital Inc.
CMCL,Caledonia Mining Corporation Plc
CEI,"Camber Energy, Inc."
CANF,Can-Fite Biopharma Ltd
YCBD,"cbdMD, Inc."
YCBD^A,"cbdMD, Inc."
CVM,Cel-Sci Corporation
CET,Central Securities Corporation
LEU,Centrus Energy Corp.
CHAQ,Chardan Healthcare Acquisition 2 Corp.
CHAQ.U,Chardan Healthcare Acquisition 2 Corp.
CHAQ.WS,Chardan Healthcare Acquisition 2 Corp.
CCF,Chase Corporation
CQP,"Cheniere Energy Partners, LP"
LNG,"Cheniere Energy, Inc."
CVR,Chicago Rivet & Machine Co.
CPHI,"China Pharma Holdings, Inc."
CKX,"CKX Lands, Inc."
GLV,Clough Global Dividend and Income Fund
GLQ,Clough Global Equity Fund
GLO,Clough Global Opportunities Fund
COHN,Cohen & Company Inc.
CIX,CompX International Inc.
LODE,"Comstock Mining, Inc."
CDOR,"Condor Hospitality Trust, Inc."
MCF,Contango Oil & Gas Company
CMT,Core Molding Technologies Inc
CRMD,CorMedix Inc.
CRF,"Cornerstone Strategic Return Fund, Inc. (The)"
CLM,"Cornerstone Strategic Value Fund, Inc."
CVU,"CPI Aerostructures, Inc."
CIK,"Credit Suisse Asset Management Income Fund, Inc."
DHY,Credit Suisse High Yield Bond Fund
CRHM,CRH Medical Corporation
CTO,"CTO Realty Growth, Inc."
CTEK,"CynergisTek, Inc."
DXR,Daxor Corporation
VCF,"Delaware Investments Colorado Municipal Income Fund, Inc"
VFL,Delaware Investments Florida Insured Municipal Income Fund
VMM,"Delaware Investments Minnesota Municipal Income Fund II, Inc."
DLA,"Delta Apparel, Inc."
DNN,Denison Mine Corp
DSS,"Document Security Systems, Inc."
DPW,"DPW Holdings, Inc."
DXF,Dunxin Financial Holdings Limited
GRF,"Eagle Capital Growth Fund, Inc."
EVM,Eaton Vance California Municipal Bond Fund
CEV,Eaton Vance California Municipal Income Trust
EVV,Eaton Vance Limited Duration Income Fund
EIM,Eaton Vance Municipal Bond Fund
ENX,Eaton Vance New York Municipal Bond Fund
EVY,Eaton Vance New York Municipal Income Trust
ELMD,"Electromed, Inc."
ELLO,Ellomay Capital Ltd.
ECF,Ellsworth Growth and Income Fund Ltd.
ECF^A,Ellsworth Growth and Income Fund Ltd.
EMAN,eMagin Corporation
MSN,Emerson Radio Corporation
EMX,EMX Royalty Corporation
UUUU,Energy Fuels Inc
UUUU.WS,Energy Fuels Inc
ENSV,ENSERVCO Corporation
ELA,Envela Corporation
EQX,Equinox Gold Corp.
ESP,Espey Mfg. & Electronics Corp.
EVBN,"Evans Bancorp, Inc."
EVI,"EVI Industries, Inc."
EPM,"Evolution Petroleum Corporation, Inc."
EXN,Excellon Resources Inc.
FEN,First Trust Energy Income and Growth Fund
BDL,"Flanigan&#39;s Enterprises, Inc."
FSI,Flexible Solutions International Inc.
FTF,Franklin Limited Duration Income Trust
FSP,Franklin Street Properties Corp.
FRD,Friedman Industries Inc.
FTSI,"FTS International, Inc."
FURY,Fury Gold Mines Limited
GAU,Galiano Gold Inc.
GGN,"GAMCO Global Gold, Natural Reources & Income Trust "
GGN^B,"GAMCO Global Gold, Natural Reources & Income Trust "
JOB,GEE Group Inc.
GSAT,"Globalstar, Inc."
GORO,Gold Resource Corporation
GSV,Gold Standard Ventures Corporation
AUMN,Golden Minerals Company
GSS,"Golden Star Resources, Ltd"
GV,Goldfield Corporation (The)
GLDG,GoldMining Inc.
GDP,Goodrich Petroleum Corporation
GTE,Gran Tierra Energy Inc.
GPL,Great Panther Mining Limited
SIM,"Grupo Simec, S.A. de C.V."
AIM,"Hemispherx BioPharma, Inc."
HLM^,Hillman Group Capital Trust
HMG,"HMG/Courtland Properties, Inc."
HUSA,Houston American Energy Corporation
HWM^,Howmet Aerospace Inc.
IBIO,"iBio, Inc."
IBO,IBO (Listing Market - NYSE Amex Network B F)
IMH,"Impac Mortgage Holdings, Inc."
IMO,Imperial Oil Limited
IOR,"Income Opportunity Realty Investors, Inc."
IGC,India Globalization Capital Inc.
INDO,Indonesia Energy Corporation Limited
INFU,"InfuSystems Holdings, Inc."
IHT,InnSuites Hospitality Trust
NSPR,InspireMD Inc.
NSPR.WS,InspireMD Inc.
NSPR.WS.B,InspireMD Inc.
ITRG,Integra Resources Corp.
INS,Intelligent Systems Corporation
THM,International Tower Hill Mines Ltd
INTT,inTest Corporation
INUV,"Inuvo, Inc"
VKI,Invesco Advantage Municipal Income Trust II
ISR,"IsoRay, Inc."
ISDR,Issuer Direct Corporation
ITP,"IT Tech Packaging, Inc."
KLR,"Kaleyra, Inc."
KLR.WS,"Kaleyra, Inc."
KIQ,Kelso Technologies Inc
LSF,"Laird Superfood, Inc."
LGL,"LGL Group, Inc. (The)"
LCTX,"Lineage Cell Therapeutics, Inc."
MAG,MAG Silver Corporation
MHH,"Mastech Digital, Inc"
MTNB,"Matinas Biopharma Holdings, Inc."
MMX,Maverix Metals Inc.
IPB,"Merrill Lynch & Co., Inc. 6.0518% Index Plus Trust Certificate"
MTA,Metalla Royalty & Streaming Ltd.
MXC,Mexco Energy Corporation
MLSS,"Milestone Scientific, Inc."
MYO,Myomo Inc.
NNVC,"NanoViricides, Inc."
ATEST,NASDAQ TEST STOCK
ATEST.A,NASDAQ TEST STOCK
ATEST.B,NASDAQ TEST STOCK
ATEST.C,NASDAQ TEST STOCK
NHC,National HealthCare Corporation
NAVB,"Navidea Biopharmaceuticals, Inc."
NTIP,"Network-1 Technologies, Inc."
NBW,Neuberger Berman California Municipal Fund Inc
NHS,Neuberger Berman High Yield Strategies Fund
NML,Neuberger Berman MLP and Energy Income Fund Inc.
NBH,Neuberger Berman Municipal Fund Inc.
NBO,Neuberger Berman New York Municipal Fund Inc.
NRO,"Neuberger Berman Real Estate Securities Income Fund, Inc."
NBA.U,New Beginnings Acquisition Corp.
GBR,"New Concept Energy, Inc"
NEN,New England Realty Associates Limited Partnership
NGD,New Gold Inc.
NXE,Nexgen Energy Ltd.
NAK,"Northern Dynasty Minerals, Ltd."
NOG,"Northern Oil and Gas, Inc."
NBY,"NovaBay Pharmaceuticals, Inc."
NG,Novagold Resources Inc.
NTN,"NTN Buzztime, Inc."
NES,"Nuverra Environmental Solutions, Inc."
OBLG,Oblong Inc.
OCX,OncoCyte Corporation
OGEN,Oragenics Inc.
PCG^A,Pacific Gas & Electric Co.
PCG^B,Pacific Gas & Electric Co.
PCG^C,Pacific Gas & Electric Co.
PCG^D,Pacific Gas & Electric Co.
PCG^E,Pacific Gas & Electric Co.
PCG^G,Pacific Gas & Electric Co.
PCG^H,Pacific Gas & Electric Co.
PCG^I,Pacific Gas & Electric Co.
PTN,"Palatin Technologies, Inc."
PZG,Paramount Gold Nevada Corp.
PRK,Park National Corporation
PED,Pedevco Corp.
HNW,Pioneer Diversified High Income Trust
PLAG,Planet Green Holdings Corp
PLG,Platinum Group Metals Ltd.
PLYM^A,"Plymouth Industrial REIT, Inc."
PLM,Polymet Mining Corp.
PW,Power REIT
PW^A,Power REIT
PLX,"Protalix BioTherapeutics, Inc."
PTK,PTK Acquisition Corp.
PTK.U,PTK Acquisition Corp.
PTK.WS,PTK Acquisition Corp.
RLGT,"Radiant Logistics, Inc."
UTG,Reaves Utility Income Fund
RHE,"Regional Health Properties, Inc."
RHE^A,"Regional Health Properties, Inc."
RCG,"RENN Fund, Inc."
RVP,"Retractable Technologies, Inc."
REI,"Ring Energy, Inc."
SACC,Sachem Capital Corp.
SACH,Sachem Capital Corp.
SCCB,Sachem Capital Corp.
SCCC,Sachem Capital Corp.
SNMP,Sanchez Midstream Partners LP
SEB,Seaboard Corporation
SENS,"Senseonics Holdings, Inc."
SVT,"Servotronics, Inc."
SMTS,Sierra Metals Inc.
SIF,"SIFCO Industries, Inc."
SVM,Silvercorp Metals Inc.
SILV,SilverCrest Metals Inc.
XPL,Solitario Zinc Corp.
LOV,"Spark Networks, Inc."
STXS,"Stereotaxis, Inc."
SSY,"SunLink Health Systems, Inc."
SDPI,"Superior Drilling Products, Inc."
SYN,"Synthetic Biologics, Inc"
TKAT,"Takung Art Co., Ltd."
TALO.WS,"Talos Energy, Inc."
TRX,Tanzanian Gold Corporation
TGB,Taseko Mines Limited
TGC,"Tengasco, Inc."
GLU,The Gabelli Global Utility and Income Trust
GLU^A,The Gabelli Global Utility and Income Trust
GLU^B,The Gabelli Global Utility and Income Trust
GGO,The Gabelli Go Anywhere Trust
GGO^A,The Gabelli Go Anywhere Trust
TDW.WS,Tidewater Inc.
TMBR,"Timber Pharmaceuticals, Inc."
TMP,Tompkins Financial Corporation
TAT,Transatlantic Petroleum Ltd
TRXC,"TransEnterix, Inc."
TMQ,Trilogy Metals Inc.
TPHS,Trinity Place Holdings Inc.
TRT,Trio-Tech International
UFAB,"Unique Fabricating, Inc."
UAMY,United States Antimony Corporation
UUU,"Universal Security Instruments, Inc."
URG,Ur Energy Inc
UEC,Uranium Energy Corp.
VGZ,Vista Gold Corporation
VNRX,VolitionRX Limited
VOLT,"Volt Information Sciences, Inc."
EAD,Wells Fargo Income Opportunities Fund
ERC,Wells Fargo Multi-Sector Income Fund
ERH,Wells Fargo Utilities and High Income Fund
WRN,Western Copper and Gold Corporation
WYY,WidePoint Corporation
WTT,"Wireless Telecom Group,  Inc."
XTNT,"Xtant Medical Holdings, Inc."
ZDGE,"Zedge, Inc."
ZOM,Zomedica Corp.
